X,Y,Value
329,15,14
398,907,288
692,113,587
147,497,531
214,180,276
32,326,133
66,287,640
793,685,404
471,777,702
176,784,209
929,501,132
895,399,384
429,297,171
562,240,97
126,89,577
174,861,341
681,731,267
444,402,254
92,739,156
917,512,349
443,169,47
772,474,189
726,943,472
232,309,326
259,338,740
309,439,77
706,37,457
244,794,142
506,75,71
103,577,85
500,949,107
427,229,704
870,463,665
835,664,377
525,827,263
29,932,739
547,478,225
33,944,30
755,614,373
539,59,262
68,84,364
421,535,229
752,93,445
559,543,547
412,616,517
446,273,791
259,112,714
119,325,192
959,270,658
937,500,187
340,864,587
114,934,735
551,896,174
573,488,308
763,858,744
250,37,20
480,838,170
334,230,222
909,443,651
755,426,39
43,368,203
117,394,541
660,76,646
152,197,53
958,312,561
63,860,678
377,825,129
565,554,207
56,986,667
372,511,384
896,860,349
153,730,327
822,360,177
485,475,637
457,22,454
510,214,544
112,683,158
365,642,693
742,871,244
479,135,16
610,723,538
677,727,48
879,903,410
624,46,739
418,978,130
906,924,699
242,894,322
667,832,206
173,806,677
409,373,320
314,379,478
30,288,592
161,514,369
331,263,328
717,512,610
484,770,630
675,195,589
191,677,771
863,609,344
475,970,166
64,442,708
601,943,387
583,112,332
35,2,658
123,313,16
303,500,595
615,857,643
79,377,176
616,736,217
64,136,71
391,691,752
604,218,277
806,414,136
324,486,296
456,277,594
709,793,212
736,256,247
198,274,206
851,414,75
707,642,19
904,785,528
939,220,108
177,863,162
381,995,425
996,535,334
399,800,797
988,832,704
732,510,767
935,558,575
667,440,369
855,495,403
161,152,535
620,197,487
484,238,523
364,369,132
306,346,360
770,905,417
61,463,214
688,605,791
223,757,389
246,420,521
369,92,2
59,275,550
770,846,406
166,547,674
85,562,50
633,372,549
270,374,496
482,199,556
411,262,237
479,599,340
346,299,396
645,895,681
51,904,407
207,303,609
568,622,217
639,978,541
617,474,251
878,414,161
930,496,731
315,309,632
306,235,496
382,206,233
738,635,546
240,820,484
148,835,379
304,712,326
294,838,522
548,3,443
182,314,351
89,372,744
219,504,293
939,554,310
94,848,41
436,385,565
377,716,172
406,489,401
471,325,172
607,187,428
637,683,653
753,740,233
212,649,672
68,438,429
136,449,554
319,853,541
565,692,297
13,255,479
145,945,61
15,417,293
738,217,450
843,758,522
293,602,43
163,262,342
621,485,106
175,852,383
740,185,323
945,591,411
607,182,150
581,955,352
415,350,644
737,318,450
80,524,498
163,771,441
566,865,559
559,317,797
385,879,180
468,848,254
136,955,616
424,486,118
902,38,767
8,960,728
840,386,264
452,381,785
980,991,286
638,222,73
658,440,147
948,311,358
645,487,753
675,913,391
931,957,220
200,5,250
75,534,465
259,6,46
860,79,410
829,215,38
149,570,357
628,660,58
644,782,411
927,718,23
977,194,799
997,262,178
606,605,276
242,917,126
845,862,536
406,131,402
685,617,168
516,199,753
860,747,764
67,673,482
494,618,151
339,746,119
946,167,178
740,671,158
592,42,165
112,169,365
374,282,763
78,219,258
107,521,351
189,233,405
910,98,584
895,287,275
926,446,675
418,178,278
686,699,60
439,555,482
488,957,310
376,527,475
430,916,330
227,130,689
805,822,115
74,349,361
879,325,519
711,83,679
699,843,125
977,458,667
714,833,679
476,700,267
540,490,709
635,947,781
878,688,71
327,627,467
698,569,317
118,838,307
775,277,252
481,88,149
991,626,652
804,506,402
548,83,435
918,380,656
92,211,261
954,782,614
341,808,130
153,925,423
224,403,553
187,430,747
297,179,539
554,245,502
554,553,352
291,52,308
18,741,533
427,510,526
644,589,46
463,663,629
632,903,94
23,972,91
696,283,794
564,288,353
441,800,389
369,412,543
417,163,757
550,328,144
642,960,689
646,648,694
504,105,633
282,735,4
951,359,449
748,412,708
430,655,26
705,503,304
671,953,407
819,824,148
573,399,77
232,585,345
475,564,219
490,472,444
174,449,224
685,641,81
703,440,152
907,933,306
426,568,402
482,414,447
109,554,796
224,59,193
683,57,436
590,922,309
559,276,19
988,935,651
943,684,779
526,14,653
837,748,730
490,529,550
93,945,503
2,117,445
997,79,671
665,848,689
744,163,389
652,201,467
570,529,205
274,225,799
67,945,769
493,886,740
113,902,721
993,278,248
522,390,756
462,566,490
342,546,392
88,971,298
253,637,579
281,302,347
726,750,188
716,841,181
281,863,719
983,892,304
206,986,213
487,721,228
508,988,68
669,548,601
864,196,442
17,123,363
644,531,51
303,495,78
241,561,89
893,762,315
799,379,468
44,587,67
261,727,29
521,825,29
939,527,9
147,287,128
48,890,304
855,367,417
279,199,759
480,905,726
23,23,418
202,488,359
593,732,212
68,960,504
941,940,3
570,836,427
42,5,296
322,348,715
35,560,160
29,632,407
589,568,131
243,897,784
319,979,403
959,513,711
437,26,374
514,800,252
162,875,446
520,465,52
503,491,594
26,892,190
318,296,85
175,248,113
639,62,257
861,506,49
481,896,271
880,784,255
942,331,464
852,521,544
213,362,200
535,745,148
507,379,472
587,893,336
168,330,710
954,272,77
359,172,161
34,777,525
590,607,248
1000,436,775
428,119,310
741,139,91
137,436,351
142,461,609
2,759,63
1,562,538
527,884,90
35,690,289
887,412,150
754,825,355
671,375,423
529,552,281
703,14,752
22,984,124
616,773,663
48,823,403
816,637,747
45,679,346
80,118,181
673,208,171
230,537,376
382,750,704
775,242,310
781,120,529
411,137,473
291,904,724
273,719,273
95,826,354
824,134,761
100,635,688
649,278,139
378,99,17
30,981,405
211,232,523
427,322,322
602,615,20
346,668,615
333,247,644
780,207,552
67,162,622
216,157,646
513,652,64
341,921,298
167,494,416
506,687,100
568,43,581
286,605,284
603,62,532
790,762,389
625,826,9
219,653,65
602,886,525
531,611,259
680,902,536
231,614,222
251,877,22
510,120,435
930,136,622
927,327,278
349,493,464
187,997,336
368,160,194
243,514,797
984,82,143
623,854,732
978,972,566
330,963,653
213,113,184
729,487,206
468,703,333
465,205,316
824,527,292
513,704,703
496,206,386
130,227,657
576,957,561
960,455,207
697,859,353
66,969,323
846,742,501
614,769,668
977,586,350
474,656,756
365,675,437
408,666,333
298,825,615
399,983,443
663,805,409
921,436,727
9,794,582
212,129,745
61,125,23
861,249,676
595,231,195
212,441,171
509,444,340
335,552,617
580,330,373
634,867,548
116,473,354
364,338,496
79,973,348
722,485,190
414,925,515
121,549,386
277,853,659
627,683,471
356,733,382
851,718,589
68,543,265
621,469,128
60,967,487
663,658,414
598,975,379
672,656,82
347,650,313
550,270,243
98,517,154
728,803,283
609,224,595
210,739,482
931,558,361
813,831,65
997,354,426
658,125,364
8,113,585
569,846,646
180,402,55
40,685,325
459,144,728
913,205,585
255,592,328
303,716,368
851,87,600
568,186,655
944,720,230
475,630,775
557,92,245
249,864,752
468,916,661
809,66,675
129,326,563
834,438,302
879,130,398
1000,887,740
467,450,38
782,225,768
262,509,735
331,730,673
741,943,447
525,912,567
217,275,509
312,428,562
153,912,650
496,57,65
619,980,5
164,433,762
102,263,740
239,296,772
800,573,265
836,849,683
644,807,787
173,910,358
775,171,465
287,801,136
854,640,216
795,759,152
970,277,70
475,472,157
658,412,359
535,133,95
451,11,664
238,503,105
825,645,574
930,310,109
297,815,750
181,606,149
871,491,429
856,971,560
338,849,402
909,376,124
657,577,289
992,360,137
720,992,595
29,314,148
75,872,448
868,727,666
722,977,618
162,429,30
283,677,175
457,697,738
724,378,332
832,124,192
895,386,263
127,455,199
203,239,124
103,361,349
541,746,464
237,720,42
723,693,607
915,111,628
700,745,706
335,937,669
877,330,120
935,797,489
618,740,545
224,582,589
300,693,26
979,306,719
912,610,761
935,950,760
243,683,62
655,388,451
985,831,729
646,148,655
960,889,511
123,549,114
710,841,614
98,316,638
195,616,54
328,295,285
62,752,171
558,401,232
618,71,672
978,864,101
567,920,778
850,332,259
355,944,475
678,555,8
449,482,407
916,987,767
609,132,660
691,921,199
705,690,590
25,518,209
375,747,555
662,360,163
62,908,160
764,623,565
371,76,32
458,35,591
275,192,15
716,166,688
434,4,384
280,666,81
159,42,426
678,762,665
765,304,184
138,80,165
67,36,579
293,262,143
824,707,50
232,506,583
374,201,530
71,105,308
776,685,449
874,468,620
563,617,380
905,391,444
430,206,431
252,398,577
905,172,133
859,708,26
168,620,739
758,768,752
396,413,494
968,844,720
753,266,436
637,809,509
817,886,334
734,209,688
375,879,308
919,37,444
776,736,218
870,481,584
46,697,122
276,179,723
926,29,462
280,986,72
821,720,435
292,833,155
659,226,249
627,844,480
19,195,601
408,219,726
969,391,776
906,255,245
446,315,319
163,991,485
292,385,578
885,670,394
446,148,362
414,85,130
61,429,122
217,905,760
61,763,384
637,935,113
522,822,585
406,698,308
792,943,448
544,938,668
5,236,462
381,960,118
532,291,543
523,323,63
71,655,301
877,817,239
149,552,627
394,21,502
943,968,655
698,726,624
250,410,557
66,429,106
698,983,11
363,38,35
765,60,119
969,46,128
683,433,79
284,303,784
725,846,361
963,212,576
443,557,531
699,713,225
387,192,696
161,807,455
47,446,794
999,323,653
745,121,667
93,666,415
843,370,478
471,209,203
79,133,727
386,8,268
186,797,93
721,577,550
698,754,519
972,277,757
529,950,762
873,2,365
136,643,368
29,686,556
5,272,120
938,988,275
454,646,112
717,684,416
701,247,772
759,560,582
457,923,414
605,84,338
833,768,526
668,482,725
107,423,768
927,66,241
534,511,608
595,922,316
393,383,246
209,111,547
288,960,418
25,398,666
988,411,158
709,243,108
451,325,706
805,920,679
840,244,71
626,484,231
257,627,490
629,915,27
626,409,386
41,546,582
361,205,778
632,819,453
186,618,337
17,385,272
579,911,460
802,756,350
981,143,8
328,60,7
614,16,611
577,692,637
709,565,410
645,992,733
447,415,288
384,58,749
141,943,436
604,191,456
645,938,81
760,620,572
165,562,502
382,110,685
413,437,758
629,146,395
49,721,711
205,367,243
844,206,304
993,149,560
825,277,616
774,740,408
443,51,776
465,605,443
673,387,683
49,435,368
913,919,748
742,126,529
98,132,38
27,983,708
571,245,366
930,793,163
361,513,384
245,937,558
271,915,451
745,279,159
554,318,291
538,161,716
321,300,578
568,596,495
28,41,4
510,405,209
225,22,172
215,163,413
853,942,622
741,895,149
368,289,205
338,732,61
96,91,483
381,990,263
139,335,135
655,866,4
703,713,772
226,797,612
921,86,54
829,722,446
161,479,607
507,806,639
446,556,586
960,521,158
157,581,491
426,455,776
64,868,584
734,550,382
428,824,553
703,197,605
755,5,511
141,231,797
554,82,720
355,256,709
241,58,479
478,221,10
657,25,782
812,593,542
143,14,578
692,39,596
119,627,702
330,710,722
992,937,45
906,860,66
603,231,293
791,318,93
610,610,437
143,498,322
608,557,705
651,260,129
567,943,263
548,290,95
153,505,437
839,926,544
626,776,265
537,659,196
412,673,538
262,602,383
370,127,247
575,163,520
119,354,671
46,928,594
717,341,437
972,493,111
481,228,796
61,817,156
140,669,478
647,319,126
646,255,661
373,244,42
969,281,176
530,50,389
487,302,667
812,372,67
291,824,442
611,944,15
158,285,663
232,757,29
760,17,212
323,783,280
146,803,753
88,39,240
256,238,80
698,469,576
826,890,800
575,89,84
221,377,163
841,341,496
176,331,327
877,554,700
469,29,112
551,293,284
394,717,26
59,765,515
139,62,569
696,576,236
227,858,102
382,166,574
180,476,281
274,257,572
351,12,632
86,787,659
969,826,2
817,37,562
777,466,565
38,198,418
103,487,756
131,127,115
730,823,518
21,867,273
813,176,502
53,302,587
166,686,216
726,141,386
38,137,495
751,326,283
281,618,676
627,566,414
782,320,641
764,932,401
712,603,704
926,58,508
546,410,748
438,926,518
959,605,578
347,872,104
850,66,756
920,458,637
228,527,540
854,627,650
62,49,282
397,845,150
591,189,150
844,405,88
43,133,173
939,187,157
401,755,74
662,149,475
435,426,419
314,861,154
332,490,98
8,613,531
371,136,483
786,616,740
245,14,691
748,686,193
290,733,798
352,687,329
23,144,755
54,863,612
785,704,747
270,555,200
908,909,324
161,139,248
539,649,729
279,158,489
853,345,728
472,799,279
505,915,682
372,611,763
663,488,332
689,22,654
158,31,334
285,609,83
118,969,609
399,648,154
936,932,13
392,924,104
777,626,373
413,894,592
88,614,132
596,900,157
257,510,260
913,714,294
278,32,118
697,448,599
989,909,649
709,255,800
82,614,714
379,347,476
580,12,318
102,784,413
300,667,22
581,863,403
202,133,601
643,287,657
652,812,89
808,554,424
804,591,664
510,141,323
192,241,703
607,577,215
188,324,548
823,500,84
417,614,52
236,821,223
530,301,403
666,582,643
952,509,546
104,802,663
720,194,385
310,804,440
568,38,593
531,51,270
68,115,466
613,940,416
867,62,297
16,129,570
17,637,427
448,271,511
151,95,134
710,728,750
212,277,67
300,531,132
443,733,506
723,37,533
480,645,313
676,283,23
509,415,49
171,78,548
283,224,275
918,191,519
823,374,10
408,897,233
173,345,530
988,490,463
548,503,798
617,505,719
812,188,120
521,108,159
887,103,394
188,634,147
333,547,324
322,543,444
823,365,786
883,790,115
570,279,234
194,327,467
352,355,645
495,414,484
636,822,313
456,933,784
243,649,625
209,641,685
195,87,732
554,432,451
165,44,530
209,483,751
249,836,577
428,987,245
326,638,614
296,172,477
565,514,670
156,791,110
227,896,323
58,18,710
711,374,159
618,336,539
372,963,192
741,353,48
412,69,167
722,873,511
848,404,73
210,575,223
101,308,436
989,796,242
310,787,580
470,176,713
316,554,452
480,42,1
397,329,724
862,4,663
1,596,379
447,90,648
276,25,88
130,349,625
43,228,489
80,889,113
616,698,152
150,755,86
224,784,388
20,960,179
570,554,120
925,458,468
395,409,388
656,209,765
573,65,504
758,922,487
869,166,46
46,207,208
480,972,73
117,843,527
503,832,781
67,169,485
36,651,148
622,937,388
968,314,70
822,947,638
474,327,150
742,471,315
358,644,311
720,99,263
195,789,216
390,69,32
493,921,12
744,685,668
875,598,660
131,528,30
81,924,268
389,518,227
365,833,646
408,694,317
701,913,788
5,682,5
9,324,39
137,61,105
42,16,480
672,236,77
225,821,422
200,468,30
436,590,88
991,218,241
590,711,200
486,940,588
675,93,245
343,951,228
283,598,256
922,602,120
600,880,203
228,814,72
846,810,458
303,92,779
907,867,289
953,282,364
964,303,763
366,496,256
117,817,387
785,183,782
65,132,126
244,345,740
950,173,537
314,161,407
759,778,525
921,128,670
326,124,333
439,570,528
779,876,704
370,334,268
891,456,63
121,205,747
43,804,287
399,790,663
572,772,405
164,779,108
151,352,674
365,440,102
13,31,572
662,895,778
685,518,684
865,286,391
265,224,647
107,63,551
707,987,534
284,258,528
157,659,539
76,177,219
914,349,42
336,138,559
580,619,332
998,598,699
651,973,474
960,545,515
380,581,381
834,693,688
163,863,522
298,193,325
521,775,219
953,2,286
944,620,270
885,508,598
703,609,616
546,917,273
265,204,138
516,111,774
965,867,760
785,878,448
311,22,128
414,8,58
587,533,563
59,116,56
114,555,28
271,157,364
121,887,779
859,876,518
207,504,232
9,36,52
884,441,245
668,985,751
863,120,647
805,407,237
183,551,576
176,3,206
535,652,466
335,792,11
595,834,51
326,245,696
123,135,111
193,641,135
943,801,209
164,175,601
311,615,633
206,213,552
744,263,669
980,930,677
280,189,729
145,179,460
349,218,700
653,363,113
152,941,108
765,232,439
663,870,342
32,828,737
618,916,691
708,400,545
794,460,187
199,947,794
337,635,596
620,443,525
78,954,639
116,867,745
665,674,375
601,427,298
885,407,190
171,423,290
627,134,317
992,528,61
240,598,370
351,540,672
566,437,707
849,137,738
835,547,570
578,746,355
999,297,166
90,200,697
188,525,200
537,629,366
393,724,91
775,231,333
716,289,367
308,136,401
660,238,111
212,464,168
544,42,372
255,548,380
248,395,125
107,237,429
351,548,612
404,432,319
493,608,500
307,803,617
616,590,526
118,348,690
766,113,486
322,668,665
167,45,62
11,485,159
497,488,75
544,606,313
337,46,215
348,665,647
891,677,326
420,335,611
559,607,399
487,284,785
686,573,215
5,736,750
61,591,393
260,593,374
144,44,572
409,175,289
124,235,541
582,573,276
440,300,312
448,507,100
136,921,269
672,243,596
372,802,573
858,879,567
174,448,111
182,582,385
469,59,616
39,684,440
611,317,761
43,754,649
732,800,655
850,780,147
579,702,360
752,624,641
34,362,387
313,292,738
341,634,134
600,705,121
1000,547,724
275,560,170
698,796,632
266,989,4
856,863,263
878,563,249
828,448,446
621,829,542
202,852,302
712,395,611
663,852,619
93,640,333
82,222,410
204,580,36
360,752,612
858,472,283
642,706,71
384,25,735
83,67,776
144,849,772
226,849,48
520,624,247
301,477,127
775,382,306
872,88,651
384,784,649
610,904,556
115,247,545
834,517,306
24,415,168
119,823,238
774,548,709
662,85,246
685,700,196
13,159,677
736,283,633
215,675,509
1000,731,495
691,303,592
14,528,301
380,238,608
222,780,607
566,939,765
156,692,82
346,842,592
630,535,620
493,306,617
986,620,57
807,126,476
275,961,52
274,34,394
337,858,306
632,952,405
856,800,526
47,775,334
964,544,681
305,464,429
26,830,223
819,955,314
927,210,557
815,735,12
590,282,372
396,920,680
143,819,30
925,518,301
809,483,652
612,313,134
187,415,2
472,753,718
304,605,536
31,312,600
26,322,161
300,312,243
821,522,132
845,525,4
954,501,69
487,419,759
147,435,140
304,988,55
474,657,207
120,878,182
791,583,17
156,910,226
59,102,316
5,105,313
79,108,152
463,15,444
227,372,301
814,853,194
772,54,345
3,376,760
804,38,297
403,505,283
126,724,105
719,79,183
931,395,462
421,20,591
569,688,718
185,353,541
560,584,356
846,515,187
182,497,734
431,51,625
844,800,628
359,705,563
915,622,25
425,581,604
291,960,771
454,783,436
43,572,360
99,863,407
14,450,734
848,362,488
781,533,786
869,71,580
770,270,553
285,4,602
551,935,457
673,72,260
722,829,351
222,510,79
147,268,734
639,796,669
312,840,650
838,342,561
516,705,75
885,222,230
662,889,660
18,669,11
23,206,556
275,581,678
799,926,347
710,745,475
632,359,630
176,362,664
701,838,561
841,604,299
584,715,352
863,367,216
711,239,590
333,597,420
742,73,794
621,152,41
497,740,317
560,942,629
533,193,681
565,816,75
417,158,650
834,216,40
607,895,640
278,73,426
232,472,275
250,365,435
800,690,743
415,516,448
359,14,465
403,64,236
980,34,599
371,201,545
666,644,418
598,397,493
807,176,23
533,510,346
384,32,380
286,168,228
259,655,214
168,231,260
519,611,44
951,526,489
551,593,584
70,604,407
150,194,652
559,596,590
692,393,638
763,57,595
206,54,723
438,68,49
973,112,703
522,547,695
677,573,376
106,207,263
597,910,598
572,944,204
682,962,298
64,792,157
380,916,183
449,432,605
584,912,579
927,17,664
942,315,310
302,347,70
39,612,548
838,606,282
902,365,759
285,829,798
265,871,764
694,683,91
400,984,39
95,867,532
765,917,535
54,851,157
174,920,540
52,366,324
540,842,642
940,290,638
765,828,537
248,923,620
862,102,99
778,938,77
202,438,327
284,144,259
465,141,338
306,305,583
904,804,191
386,253,791
66,801,397
671,665,595
933,854,603
683,873,117
820,534,748
430,614,27
716,147,270
408,709,669
358,763,74
205,852,532
499,430,6
500,270,654
705,166,668
947,443,353
972,740,146
959,694,782
874,469,158
10,799,371
390,678,776
295,720,501
21,97,485
564,803,414
896,666,586
863,819,153
671,378,370
405,72,385
187,988,763
786,583,437
526,820,57
675,59,690
850,753,403
718,997,294
659,90,429
604,343,532
421,791,132
909,412,430
75,260,460
317,440,222
33,779,273
991,933,79
50,74,640
610,656,141
265,229,189
377,490,549
145,737,747
46,349,127
443,624,703
863,195,354
309,555,559
29,354,55
679,965,612
748,353,303
94,519,575
109,393,363
301,878,434
292,825,768
661,37,361
353,180,559
615,236,126
114,870,83
301,7,799
884,4,363
894,652,443
962,367,306
8,319,155
359,659,168
595,153,28
32,123,58
614,947,223
146,606,56
885,258,324
281,433,390
336,25,170
289,825,761
805,549,141
282,659,527
761,630,197
245,364,436
557,169,783
710,807,130
685,216,255
530,529,481
387,536,147
98,712,178
521,370,442
835,129,502
134,695,304
401,501,201
780,794,410
66,960,344
100,707,783
843,297,637
799,558,561
357,806,8
372,749,192
712,673,370
696,323,92
319,874,527
846,156,683
584,83,717
158,388,481
839,692,24
164,570,130
420,826,458
613,973,52
205,827,299
208,596,108
5,814,480
814,352,428
580,798,681
795,699,240
218,311,148
525,667,794
698,704,542
33,485,500
880,638,199
392,566,700
11,191,638
833,279,404
658,837,335
149,675,423
557,142,402
260,3,400
566,135,73
548,648,781
202,128,512
45,741,570
143,302,324
470,992,574
921,189,590
763,824,132
615,423,571
22,72,487
638,718,115
918,58,399
941,106,270
600,329,504
170,380,768
709,484,87
133,753,378
990,125,585
428,320,211
907,285,659
48,653,370
421,409,730
443,549,766
762,721,638
692,298,448
76,490,766
476,136,147
370,509,32
633,781,338
506,196,28
754,331,343
853,877,265
661,155,47
501,366,387
920,625,207
162,395,167
679,470,283
868,835,152
459,576,513
208,518,13
86,550,442
300,62,427
473,419,748
689,292,221
248,678,724
730,696,478
841,461,610
333,920,257
235,520,595
130,274,749
667,18,754
458,188,235
662,141,697
17,445,92
723,918,416
596,241,602
969,295,4
829,191,99
369,803,435
705,496,291
35,393,10
691,817,589
631,997,549
97,715,20
932,610,490
748,215,522
13,511,55
938,376,403
646,346,438
846,423,3
671,630,424
50,664,517
225,275,483
987,490,392
124,815,596
365,643,487
212,59,380
463,294,635
80,861,775
966,613,476
860,196,71
953,840,449
653,896,692
751,434,688
609,164,461
535,515,707
504,632,25
521,828,549
289,797,485
317,263,62
866,30,267
544,890,716
240,355,738
288,99,740
822,942,690
670,770,97
32,108,11
907,382,640
287,237,382
800,551,437
474,762,611
432,628,25
127,342,29
20,733,362
608,41,133
970,200,77
658,309,415
809,651,16
69,253,378
64,292,340
967,278,673
850,158,780
314,437,519
661,86,584
127,554,339
409,953,111
908,601,522
610,227,635
831,996,383
621,632,486
909,88,550
414,188,288
978,403,446
484,632,616
1000,346,631
218,388,503
644,862,612
964,850,8
237,735,525
497,676,23
288,165,202
313,652,633
502,983,497
928,928,209
294,739,101
413,827,148
133,328,515
778,766,90
445,675,80
336,425,140
551,605,514
946,648,198
672,606,116
189,868,391
235,234,781
628,121,789
778,956,758
597,782,38
611,273,498
786,870,191
167,645,616
895,47,55
85,562,364
222,148,459
30,547,731
213,638,653
115,426,779
346,381,99
982,354,584
532,380,586
87,29,477
620,73,527
746,923,618
644,291,220
952,836,62
262,200,243
168,680,549
75,962,162
278,801,798
729,553,798
561,913,212
678,175,481
998,386,190
280,367,119
257,692,294
154,887,18
933,270,78
935,252,190
671,188,554
679,13,234
716,952,128
79,907,488
411,815,542
98,139,370
678,327,760
717,264,395
41,141,168
645,238,741
118,673,420
589,243,361
112,317,108
731,812,204
539,761,773
288,855,144
478,469,769
627,67,522
332,664,22
369,869,405
757,622,442
274,333,206
991,105,642
907,997,473
900,658,42
92,490,759
827,59,595
874,74,651
939,864,246
604,393,91
604,417,108
119,238,455
537,975,247
118,164,111
489,313,748
276,791,42
547,523,685
400,832,26
396,130,267
81,519,702
48,665,408
198,960,280
170,112,153
644,68,630
488,786,200
416,837,231
995,805,624
915,52,119
627,97,54
358,191,267
727,436,334
992,400,709
570,342,758
202,134,461
873,143,697
778,933,637
598,921,255
880,882,775
486,995,80
527,790,780
755,879,345
328,341,663
476,517,1
999,192,359
346,162,239
877,744,134
661,819,156
472,766,312
313,217,293
382,664,631
670,421,181
9,684,315
229,233,737
149,837,384
129,342,137
205,506,237
728,7,481
593,405,339
654,821,373
222,947,364
912,411,2
550,853,776
801,929,71
999,313,690
91,271,321
259,906,774
613,419,215
308,626,603
821,949,785
937,438,506
429,957,452
32,436,377
51,189,216
415,369,477
545,928,365
541,86,566
833,396,370
439,345,544
941,824,85
861,326,432
154,935,362
838,254,74
902,925,93
261,45,420
591,721,395
472,341,170
514,258,26
937,870,499
349,841,34
129,706,81
186,550,258
114,439,280
551,377,423
103,303,673
745,353,412
28,811,284
783,274,692
387,356,703
957,862,579
474,32,232
21,673,467
346,747,383
967,942,379
37,836,444
964,263,186
94,447,528
920,301,60
275,825,343
130,413,455
576,933,236
871,825,575
242,661,589
814,41,686
844,540,584
464,450,766
115,250,384
320,504,123
28,390,244
342,932,444
197,854,8
349,457,516
251,112,773
457,368,714
826,328,367
952,981,715
755,365,83
119,835,275
239,574,485
651,509,109
943,834,93
789,807,201
266,710,704
330,262,77
76,42,286
194,661,491
573,816,682
932,139,774
226,516,445
526,766,693
285,222,800
854,211,557
819,426,129
932,164,796
972,75,286
419,336,765
879,668,40
670,796,162
546,103,739
387,882,324
287,36,233
481,766,107
518,208,484
788,234,418
756,489,590
31,550,350
943,416,110
801,124,262
576,529,111
846,795,493
603,319,302
731,417,540
639,62,438
387,852,149
261,667,374
192,106,25
699,633,137
219,150,505
9,548,341
683,862,143
109,158,773
663,158,409
675,295,120
470,493,514
205,919,664
914,776,298
31,34,556
183,555,172
355,2,798
138,746,581
614,497,38
92,809,162
964,45,744
330,229,106
196,737,568
307,888,634
153,767,540
308,374,241
22,968,550
956,14,349
694,236,474
444,353,572
45,34,222
414,160,433
747,395,615
9,311,287
166,16,352
273,209,269
832,461,400
158,661,459
718,475,644
7,778,367
135,27,743
900,408,333
895,146,304
102,814,362
319,528,413
504,121,665
729,327,328
933,143,457
106,912,610
134,109,535
147,995,785
574,401,522
831,342,707
914,717,603
879,871,608
937,201,748
823,695,29
526,576,698
350,74,236
